cancer_type,cd46_mean,cd46_median,cd46_std,n_samples,expression_rank
COAD,12.999589041095891,12.99,0.6044831097293288,146,1
LUAD,13.034261363636364,12.955,0.6162666583191435,176,2
PRAD,12.88925,12.94,0.5214488162078121,160,3
BRCA,12.903260869565218,12.88,0.6835183379483295,138,4
ACC,12.77113924050633,12.67,1.0054466890223879,79,5
KIRC,12.665637583892618,12.56,0.5611478609253981,149,6
PAAD,12.489126213592234,12.51,0.45143802214204626,103,7
STAD,12.408106060606059,12.44,0.6267791563243653,132,8
PCPG,12.378235294117646,12.41,0.5974673715458606,153,9
BLCA,12.277130434782608,12.38,0.7472179573725362,115,10
LUSC,12.348928571428571,12.375,0.5733858214645958,168,11
CESC,12.247128712871287,12.24,0.6285114742527194,101,12
LIHC,12.244244604316547,12.21,0.6587812401274522,139,13
KIRP,12.15860294117647,12.195,0.5834624273588092,136,14
UCEC,11.963223140495867,11.98,0.8278478270753552,121,15
THCA,11.826100628930817,11.88,0.4494918536732219,159,16
OV,11.78046511627907,11.8,0.49800757607453394,86,17
LAML,11.752760736196318,11.79,0.4143316622587175,163,18
HNSC,11.723947368421053,11.72,0.6173460446121956,114,19
THYM,11.392727272727273,11.39,0.8807061560664456,121,20
SKCM,11.167786885245901,11.26,0.817674097311,122,21
SARC,10.967925925925927,11.03,0.7477948640176588,135,22
TGCT,10.684137931034483,10.69,0.5855817058636493,87,23
GBM,10.4625,10.36,0.5155454361879209,32,24
LGG,9.710655737704919,9.695,0.43365968625087065,122,25
