cancer_type,endpoint,n_high,n_low,log_rank_p,log_rank_stat,significant,hazard_ratio,hr_lower_95,hr_upper_95,p_value,n_samples
ACC,OS,54.0,25.0,0.7876815644178737,0.07253457731406217,False,,,,,
ACC,OS,,,,,False,1.0605801043839034,0.7043390607415885,1.597000962335745,0.778221778917721,79.0
ACC,PFI,54.0,25.0,0.28734558146694517,1.1320167008026636,False,,,,,
BLCA,OS,61.0,54.0,0.4396169643306892,0.5972819608751622,False,,,,,
BLCA,OS,,,,,False,0.9110894431790826,0.6492118969520455,1.2786025292658578,0.5902062866073743,115.0
BLCA,PFI,61.0,54.0,0.4352092056334145,0.6088816341183104,False,,,,,
BRCA,OS,117.0,21.0,0.22815845876493263,1.4523049802945143,False,,,,,
BRCA,OS,,,,,False,1.307387032941089,0.7960445816343004,2.1471923725595206,0.2896660174185163,138.0
BRCA,PFI,117.0,21.0,0.24498559927115465,1.3516744565221466,False,,,,,
CESC,OS,49.0,52.0,0.027494082910260207,4.859513814185476,True,,,,,
CESC,OS,,,,,True,3.4204179340189476,1.601236216976751,7.306391598765789,0.0014949148219522874,101.0
CESC,PFI,49.0,52.0,0.033002186076420366,4.54566574985796,True,,,,,
COAD,OS,,,,,False,0.7418506900038601,0.4274984552572965,1.2873554032563024,0.2883279700699082,146.0
HNSC,OS,20.0,94.0,0.936569560255169,0.00633332503500541,False,,,,,
HNSC,OS,,,,,False,1.0144120694242957,0.6712727576617942,1.5329563651265241,0.9458452581441621,114.0
HNSC,PFI,20.0,94.0,0.503740321704249,0.44704765260011703,False,,,,,
KIRC,OS,128.0,21.0,0.014066928500071886,6.029724515265655,True,,,,,
KIRC,OS,,,,,True,0.43560732717823697,0.21879779452824039,0.8672561983565878,0.018013485971831267,149.0
KIRC,PFI,128.0,21.0,0.17510295410686572,1.8387037293529074,False,,,,,
KIRP,OS,61.0,75.0,0.5055775672262472,0.4432091942834992,False,,,,,
KIRP,OS,,,,,False,1.4365499331039737,0.6535068072415422,3.15784883559488,0.36737489026741466,136.0
KIRP,PFI,61.0,75.0,0.6508617618816472,0.20481538635652596,False,,,,,
LAML,OS,,,,,False,1.1012387383698385,0.6813417250170349,1.7799097198341598,0.6938264478889968,163.0
LGG,OS,,,,,True,1.9427908725039669,1.1054649989139893,3.4143427227390624,0.020972078621785562,122.0
LIHC,OS,65.0,74.0,0.7741497175507663,0.08234096771650562,False,,,,,
LIHC,OS,,,,,False,1.1746450595766307,0.8676750812503252,1.5902162523781351,0.2976234824099838,139.0
LIHC,PFI,65.0,74.0,0.05061851945780123,3.8208511182514067,False,,,,,
LUAD,OS,,,,,False,0.9496907005820255,0.6453115513397572,1.3976387450363814,0.7934538969169297,176.0
LUSC,OS,96.0,72.0,0.366359763730867,0.8159744958021174,False,,,,,
LUSC,OS,,,,,False,1.1739336292147764,0.8226207337115818,1.6752801252448826,0.3767995521950621,168.0
LUSC,PFI,96.0,72.0,0.481438783068708,0.4956024132612472,False,,,,,
OV,OS,,,,,False,1.0249224188325545,0.6365435676017792,1.650265619026323,0.9193171000312199,86.0
PAAD,OS,77.0,26.0,0.36396896185696037,0.8241521608224202,False,,,,,
PAAD,OS,,,,,False,1.1118789525872077,0.5863696079415162,2.1083541651253705,0.7452952164241426,103.0
PAAD,PFI,77.0,26.0,0.35157604949135834,0.8677604796980027,False,,,,,
PCPG,OS,94.0,59.0,1.0,0.0,False,,,,,
PCPG,PFI,94.0,59.0,1.0,0.0,False,,,,,
PRAD,OS,,,,,False,0.7718137784256816,0.04746813262638284,12.549398419701866,0.8555507766131277,160.0
SARC,OS,,,,,False,0.7347355929141206,0.4948205920836736,1.090973981542746,0.12644579694610458,135.0
SKCM,OS,,,,,True,0.5892864536969066,0.4335841775427122,0.8009022065305142,0.0007296901007328038,122.0
STAD,OS,80.0,52.0,0.41590158702762026,0.6618670222741301,False,,,,,
STAD,OS,,,,,False,0.6807493205234,0.43108222616818637,1.0750144850840313,0.09901064814142839,132.0
STAD,PFI,80.0,52.0,0.3316936445040388,0.9422742646647877,False,,,,,
TGCT,OS,,,,,False,0.9106682936549797,0.13692706881192673,6.056631082985956,0.9228865663874593,87.0
THCA,OS,22.0,137.0,0.8826392758800607,0.021792934216733017,False,,,,,
THCA,OS,,,,,False,1.8324039719702494,0.298849786676056,11.235424839476279,0.5127499092829332,159.0
THCA,PFI,22.0,137.0,0.8556197964995763,0.03310680803662299,False,,,,,
THYM,OS,20.0,101.0,0.38829717448239487,0.7442677860399535,False,,,,,
THYM,OS,,,,,False,1.5479039730323445,0.6554535495812776,3.655494292860196,0.3190130607557067,121.0
THYM,PFI,20.0,101.0,0.9200330645970849,0.01007856786762114,False,,,,,
UCEC,OS,39.0,82.0,0.816320824768158,0.05395383126763731,False,,,,,
UCEC,OS,,,,,False,1.2427025394847067,0.744926534723852,2.0731032251579307,0.40530438781246314,121.0
UCEC,PFI,39.0,82.0,0.5985169691589785,0.277238456479597,False,,,,,
