cancer_type,cd46_mean,cd46_median,cd46_std,n_samples,expression_rank,expr_rank_score,hr,surv_pval,survival_impact,cna_score,tissue,protein_score,priority_score,priority_label,priority_rank
LUAD,13.034261363636364,12.955,0.6162666583191435,176,2,0.9583333333333334,1.0,1.0,0.3,0.15,Lung,1.0,0.6129166666666667,MODERATE,1
PRAD,12.88925,12.94,0.5214488162078121,160,3,0.9166666666666666,1.0,1.0,0.3,0.15,Prostate,1.0,0.5983333333333333,MODERATE,2
COAD,12.999589041095891,12.99,0.6044831097293288,146,1,1.0,1.0,1.0,0.3,0.15,Colon,0.6666666666666666,0.5775,MODERATE,3
BRCA,12.903260869565218,12.88,0.6835183379483295,138,4,0.875,1.0,1.0,0.3,0.15,Breast,0.6666666666666666,0.53375,MODERATE,4
BLCA,12.277130434782608,12.38,0.7472179573725362,115,10,0.625,1.0,1.0,0.3,0.15,Bladder,1.0,0.49624999999999997,MODERATE,5
ACC,12.77113924050633,12.67,1.005446689022388,79,5,0.8333333333333334,1.0,1.0,0.3,0.15,,0.5,0.4941666666666667,MODERATE,6
PAAD,12.489126213592234,12.51,0.4514380221420462,103,7,0.75,1.0,1.0,0.3,0.15,Pancreas,0.6666666666666666,0.48999999999999994,MODERATE,7
LUSC,12.348928571428573,12.375,0.5733858214645958,168,11,0.5833333333333333,1.0,1.0,0.3,0.15,Lung,1.0,0.4816666666666667,MODERATE,8
KIRC,12.665637583892618,12.56,0.5611478609253981,149,6,0.7916666666666666,1.0,1.0,0.3,0.15,Kidney,0.5,0.4795833333333333,MODERATE,9
STAD,12.40810606060606,12.44,0.6267791563243653,132,8,0.7083333333333333,1.0,1.0,0.3,0.15,,0.5,0.45041666666666663,MODERATE,10
PCPG,12.378235294117646,12.41,0.5974673715458606,153,9,0.6666666666666667,1.0,1.0,0.3,0.15,,0.5,0.43583333333333335,EXPLORATORY,11
OV,11.78046511627907,11.8,0.4980075760745339,86,17,0.33333333333333337,1.0,1.0,0.3,0.15,Ovary,1.0,0.39416666666666667,EXPLORATORY,12
CESC,12.247128712871287,12.24,0.6285114742527194,101,12,0.5416666666666667,1.0,1.0,0.3,0.15,,0.5,0.3920833333333334,EXPLORATORY,13
LIHC,12.244244604316547,12.21,0.6587812401274522,139,13,0.5,1.0,1.0,0.3,0.15,Liver,0.5,0.3775,EXPLORATORY,14
KIRP,12.15860294117647,12.195,0.5834624273588092,136,14,0.45833333333333337,1.0,1.0,0.3,0.15,,0.5,0.3629166666666667,EXPLORATORY,15
UCEC,11.963223140495868,11.98,0.8278478270753552,121,15,0.41666666666666663,1.0,1.0,0.3,0.15,,0.5,0.34833333333333333,EXPLORATORY,16
THCA,11.826100628930815,11.88,0.4494918536732219,159,16,0.375,1.0,1.0,0.3,0.15,,0.5,0.33375,EXPLORATORY,17
LAML,11.752760736196318,11.79,0.4143316622587175,163,18,0.29166666666666663,1.0,1.0,0.3,0.15,,0.5,0.3045833333333333,EXPLORATORY,18
HNSC,11.723947368421053,11.72,0.6173460446121956,114,19,0.25,1.0,1.0,0.3,0.15,,0.5,0.29,EXPLORATORY,19
THYM,11.392727272727273,11.39,0.8807061560664456,121,20,0.20833333333333337,1.0,1.0,0.3,0.15,,0.5,0.27541666666666664,EXPLORATORY,20
SKCM,11.1677868852459,11.26,0.817674097311,122,21,0.16666666666666663,1.0,1.0,0.3,0.15,,0.5,0.2608333333333333,EXPLORATORY,21
SARC,10.967925925925927,11.03,0.7477948640176588,135,22,0.125,1.0,1.0,0.3,0.15,,0.5,0.24624999999999997,EXPLORATORY,22
TGCT,10.684137931034485,10.69,0.5855817058636493,87,23,0.08333333333333337,1.0,1.0,0.3,0.15,,0.5,0.2316666666666667,EXPLORATORY,23
GBM,10.4625,10.36,0.5155454361879209,32,24,0.04166666666666663,1.0,1.0,0.3,0.15,,0.5,0.2170833333333333,EXPLORATORY,24
LGG,9.71065573770492,9.695,0.4336596862508706,122,25,0.0,1.0,1.0,0.3,0.15,,0.5,0.2025,EXPLORATORY,25
